"time, ",2023-05-16 13:00:02
x,y
2999000000.0,-77.18
2999004444.4444447,-76.77
2999008888.888889,-76.9
2999013333.3333335,-76.9
2999017777.7777777,-76.24
2999022222.2222223,-76.24
2999026666.6666665,-77.61
2999031111.111111,-76.9
2999035555.5555553,-76.96
2999040000.0,-76.96
2999044444.4444447,-76.46
2999048888.888889,-76.15
2999053333.3333335,-75.99
2999057777.7777777,-75.99
2999062222.2222223,-75.8
2999066666.6666665,-75.8
2999071111.111111,-76.33
2999075555.5555553,-76.33
2999080000.0,-77.18
2999084444.4444447,-77.11
2999088888.888889,-76.71
2999093333.3333335,-76.71
2999097777.7777777,-76.8
2999102222.2222223,-76.39
2999106666.6666665,-76.68
2999111111.111111,-76.64
2999115555.5555553,-76.68
2999120000.0,-76.68
2999124444.4444447,-77.18
2999128888.888889,-77.11
2999133333.3333335,-76.11
2999137777.7777777,-76.11
2999142222.2222223,-77.52
2999146666.6666665,-77.05
2999151111.111111,-76.36
2999155555.5555553,-75.93
2999160000.0,-76.08
2999164444.4444447,-76.08
2999168888.888889,-77.27
2999173333.3333335,-77.27
2999177777.7777777,-77.02
2999182222.2222223,-76.55
2999186666.6666665,-76.74
2999191111.111111,-76.74
2999195555.5555553,-77.24
2999200000.0,-76.68
2999204444.4444447,-76.77
2999208888.888889,-76.21
2999213333.3333335,-76.14
2999217777.7777777,-76.14
2999222222.2222223,-77.39
2999226666.6666665,-76.8
2999231111.111111,-75.99
2999235555.5555553,-75.99
2999240000.0,-78.14
2999244444.4444447,-77.11
2999248888.888889,-76.74
2999253333.3333335,-76.74
2999257777.7777777,-77.55
2999262222.2222223,-77.55
2999266666.6666665,-77.77
2999271111.111111,-77.77
2999275555.5555553,-78.52
2999280000.0,-78.52
2999284444.4444447,-78.36
2999288888.888889,-78.36
2999293333.3333335,-78.43
2999297777.7777777,-77.96
2999302222.2222223,-79.64
2999306666.6666665,-79.64
2999311111.111111,-79.55
2999315555.5555553,-79.55
2999320000.0,-82.27
2999324444.4444447,-82.27
2999328888.888889,-83.52
2999333333.3333335,-83.52
2999337777.7777777,-82.46
2999342222.2222223,-82.46
2999346666.6666665,-85.64
2999351111.111111,-85.05
2999355555.5555553,-83.99
2999360000.0,-83.36
2999364444.4444447,-82.96
2999368888.888889,-82.96
2999373333.3333335,-83.74
2999377777.7777777,-83.74
2999382222.2222223,-84.24
2999386666.6666665,-84.24
2999391111.111111,-85.05
2999395555.5555553,-83.77
2999400000.0,-84.49
2999404444.4444447,-84.49
2999408888.888889,-84.49
2999413333.3333335,-83.17
2999417777.7777777,-83.74
2999422222.2222223,-83.74
2999426666.6666665,-85.3
2999431111.111111,-84.77
2999435555.5555553,-83.89
2999440000.0,-83.89
2999444444.4444447,-82.86
2999448888.888889,-82.86
2999453333.3333335,-84.3
2999457777.7777777,-83.89
2999462222.2222223,-84.61
2999466666.6666665,-84.61
2999471111.111111,-87.77
2999475555.5555553,-85.42
2999480000.0,-84.64
2999484444.4444447,-84.64
2999488888.888889,-84.49
2999493333.3333335,-84.49
2999497777.7777777,-84.39
2999502222.2222223,-84.39
2999506666.6666665,-85.14
2999511111.111111,-85.14
2999515555.5555553,-85.11
2999520000.0,-84.08
2999524444.4444447,-83.21
2999528888.888889,-83.21
2999533333.3333335,-83.36
2999537777.7777777,-83.36
2999542222.2222223,-82.21
2999546666.6666665,-82.21
2999551111.111111,-83.89
2999555555.5555553,-83.89
2999560000.0,-86.83
2999564444.4444447,-85.36
2999568888.888889,-84.77
2999573333.3333335,-84.77
2999577777.7777777,-86.02
2999582222.2222223,-86.02
2999586666.6666665,-86.36
2999591111.111111,-86.11
2999595555.5555553,-86.52
2999600000.0,-85.33
2999604444.4444447,-85.36
2999608888.888889,-84.55
2999613333.3333335,-84.27
2999617777.7777777,-84.27
2999622222.2222223,-85.33
2999626666.6666665,-84.14
2999631111.111111,-83.52
2999635555.5555553,-83.52
2999640000.0,-85.42
2999644444.4444447,-84.2
2999648888.888889,-84.99
2999653333.3333335,-84.8
2999657777.7777777,-86.89
2999662222.2222223,-85.17
2999666666.6666665,-84.95
2999671111.111111,-83.74
2999675555.5555553,-82.39
2999680000.0,-82.39
2999684444.4444447,-82.67
2999688888.888889,-82.67
2999693333.3333335,-83.74
2999697777.7777777,-83.74
2999702222.2222223,-84.58
2999706666.6666665,-84.58
2999711111.111111,-82.49
2999715555.5555553,-82.49
2999720000.0,-84.64
2999724444.4444447,-82.92
2999728888.888889,-82.33
2999733333.3333335,-82.33
2999737777.7777777,-80.64
2999742222.2222223,-80.64
2999746666.6666665,-82.27
2999751111.111111,-82.02
2999755555.5555553,-82.08
2999760000.0,-82.08
2999764444.4444447,-82.8
2999768888.888889,-82.8
2999773333.3333335,-84.74
2999777777.7777777,-83.45
2999782222.2222223,-82.8
2999786666.6666665,-82.64
2999791111.111111,-82.17
2999795555.5555553,-82.17
2999800000.0,-80.92
2999804444.4444447,-80.92
2999808888.888889,-83.3
2999813333.3333335,-81.52
2999817777.7777777,-80.33
2999822222.2222223,-79.99
2999826666.6666665,-80.55
2999831111.111111,-80.55
2999835555.5555553,-81.8
2999840000.0,-80.7
2999844444.4444447,-81.17
2999848888.888889,-80.55
2999853333.3333335,-78.67
2999857777.7777777,-76.92
2999862222.2222223,-77.33
2999866666.6666665,-77.33
2999871111.111111,-78.55
2999875555.5555553,-75.67
2999880000.0,-75.36
2999884444.4444447,-75.36
2999888888.888889,-77.8
2999893333.3333335,-74.92
2999897777.7777777,-75.58
2999902222.2222223,-73.64
2999906666.6666665,-73.98
2999911111.111111,-73.98
2999915555.5555553,-71.33
2999920000.0,-69.83
2999924444.4444447,-70.7
2999928888.888889,-69.45
2999933333.3333335,-68.3
2999937777.7777777,-66.89
2999942222.2222223,-67.52
2999946666.6666665,-67.02
2999951111.111111,-63.83
2999955555.5555553,-58.7
2999960000.0,-52.64
2999964444.4444447,-47.08
2999968888.888889,-41.77
2999973333.3333335,-37.36
2999977777.7777777,-33.52
2999982222.2222223,-30.25
2999986666.6666665,-27.59
2999991111.111111,-25.41
2999995555.5555553,-23.78
3000000000.0,-22.68
3000004444.4444447,-22.06
3000008888.888889,-21.92
3000013333.3333335,-22.41
3000017777.7777777,-22.41
3000022222.2222223,-24.37
3000026666.6666665,-24.37
3000031111.111111,-28.26
3000035555.5555553,-28.26
3000040000.0,-34.14
3000044444.4444447,-34.14
3000048888.888889,-42.03
3000053333.3333335,-42.03
3000057777.7777777,-51.55
3000062222.2222223,-51.55
3000066666.6666665,-60.04
3000071111.111111,-60.04
3000075555.5555553,-64.79
3000080000.0,-64.79
3000084444.4444447,-68.89
3000088888.888889,-68.89
3000093333.3333335,-71.64
3000097777.7777777,-71.64
3000102222.2222223,-72.86
3000106666.6666665,-72.14
3000111111.111111,-73.11
3000115555.5555553,-73.07
3000120000.0,-73.48
3000124444.4444447,-73.48
3000128888.888889,-77.23
3000133333.3333335,-76.82
3000137777.7777777,-76.67
3000142222.2222223,-76.67
3000146666.6666665,-78.64
3000151111.111111,-78.64
3000155555.5555553,-77.79
3000160000.0,-77.79
3000164444.4444447,-78.1
3000168888.888889,-78.1
3000173333.3333335,-79.17
3000177777.7777777,-79.17
3000182222.2222223,-80.79
3000186666.6666665,-79.79
3000191111.111111,-81.85
3000195555.5555553,-80.1
3000200000.0,-80.85
3000204444.4444447,-79.51
3000208888.888889,-81.45
3000213333.3333335,-79.92
3000217777.7777777,-81.42
3000222222.2222223,-81.42
3000226666.6666665,-85.07
3000231111.111111,-83.67
3000235555.5555553,-83.63
3000240000.0,-83.13
3000244444.4444447,-85.32
3000248888.888889,-83.32
3000253333.3333335,-83.57
3000257777.7777777,-83.57
3000262222.2222223,-85.6
3000266666.6666665,-85.26
3000271111.111111,-85.57
3000275555.5555553,-85.16
3000280000.0,-84.29
3000284444.4444447,-83.57
3000288888.888889,-83.69
3000293333.3333335,-82.63
3000297777.7777777,-81.48
3000302222.2222223,-81.48
3000306666.6666665,-82.19
3000311111.111111,-82.04
3000315555.5555553,-83.04
3000320000.0,-82.44
3000324444.4444447,-82.22
3000328888.888889,-82.22
3000333333.3333335,-82.79
3000337777.7777777,-82.79
3000342222.2222223,-85.1
3000346666.6666665,-84.66
3000351111.111111,-85.79
3000355555.5555553,-85.79
3000360000.0,-85.16
3000364444.4444447,-83.94
3000368888.888889,-83.79
3000373333.3333335,-83.79
3000377777.7777777,-83.44
3000382222.2222223,-83.44
3000386666.6666665,-84.32
3000391111.111111,-84.32
3000395555.5555553,-85.75
3000400000.0,-85.75
3000404444.4444447,-87.16
3000408888.888889,-83.94
3000413333.3333335,-84.22
3000417777.7777777,-84.22
3000422222.2222223,-85.03
3000426666.6666665,-85.03
3000431111.111111,-84.6
3000435555.5555553,-83.78
3000440000.0,-83.72
3000444444.4444447,-83.72
3000448888.888889,-84.25
3000453333.3333335,-84.25
3000457777.7777777,-84.31
3000462222.2222223,-84.31
3000466666.6666665,-84.75
3000471111.111111,-83.88
3000475555.5555553,-84.31
3000480000.0,-84.31
3000484444.4444447,-84.19
3000488888.888889,-84.19
3000493333.3333335,-86.22
3000497777.7777777,-85.34
3000502222.2222223,-85.81
3000506666.6666665,-84.56
3000511111.111111,-85.28
3000515555.5555553,-84.03
3000520000.0,-84.59
3000524444.4444447,-83.75
3000528888.888889,-85.34
3000533333.3333335,-85.34
3000537777.7777777,-85.28
3000542222.2222223,-83.66
3000546666.6666665,-84.44
3000551111.111111,-84.44
3000555555.5555553,-87.16
3000560000.0,-85.28
3000564444.4444447,-84.47
3000568888.888889,-84.47
3000573333.3333335,-84.94
3000577777.7777777,-84.94
3000582222.2222223,-85.75
3000586666.6666665,-85.75
3000591111.111111,-86.97
3000595555.5555553,-85.06
3000600000.0,-83.5
3000604444.4444447,-83.5
3000608888.888889,-86.9
3000613333.3333335,-85.34
3000617777.7777777,-84.59
3000622222.2222223,-84.0
3000626666.6666665,-86.18
3000631111.111111,-85.0
3000635555.5555553,-85.47
3000640000.0,-85.47
3000644444.4444447,-85.72
3000648888.888889,-85.72
3000653333.3333335,-83.78
3000657777.7777777,-83.78
3000662222.2222223,-84.15
3000666666.6666665,-84.15
3000671111.111111,-87.21
3000675555.5555553,-85.65
3000680000.0,-85.03
3000684444.4444447,-84.71
3000688888.888889,-84.53
3000693333.3333335,-84.53
3000697777.7777777,-86.68
3000702222.2222223,-85.81
3000706666.6666665,-83.71
3000711111.111111,-83.71
3000715555.5555553,-84.96
3000720000.0,-84.96
3000724444.4444447,-83.65
3000728888.888889,-83.65
3000733333.3333335,-84.15
3000737777.7777777,-84.15
3000742222.2222223,-85.49
3000746666.6666665,-85.4
3000751111.111111,-84.65
3000755555.5555553,-84.65
3000760000.0,-86.49
3000764444.4444447,-85.09
3000768888.888889,-84.96
3000773333.3333335,-84.93
3000777777.7777777,-86.68
3000782222.2222223,-85.62
3000786666.6666665,-88.34
3000791111.111111,-86.12
3000795555.5555553,-85.46
3000800000.0,-85.46
3000804444.4444447,-85.4
3000808888.888889,-85.4
3000813333.3333335,-85.4
3000817777.7777777,-85.4
3000822222.2222223,-86.3
3000826666.6666665,-86.15
3000831111.111111,-86.96
3000835555.5555553,-86.96
3000840000.0,-87.96
3000844444.4444447,-87.4
3000848888.888889,-86.24
3000853333.3333335,-84.65
3000857777.7777777,-84.96
3000862222.2222223,-84.3
3000866666.6666665,-82.86
3000871111.111111,-82.8
3000875555.5555553,-84.4
3000880000.0,-84.24
3000884444.4444447,-84.24
3000888888.888889,-84.24
3000893333.3333335,-84.9
3000897777.7777777,-83.86
3000902222.2222223,-84.93
3000906666.6666665,-84.68
3000911111.111111,-84.68
3000915555.5555553,-84.68
3000920000.0,-87.8
3000924444.4444447,-85.64
3000928888.888889,-85.74
3000933333.3333335,-85.74
3000937777.7777777,-86.83
3000942222.2222223,-86.83
3000946666.6666665,-86.71
3000951111.111111,-85.71
3000955555.5555553,-86.92
3000960000.0,-85.36
3000964444.4444447,-84.42
3000968888.888889,-84.21
3000973333.3333335,-85.17
3000977777.7777777,-85.17
3000982222.2222223,-84.3
3000986666.6666665,-84.21
3000991111.111111,-82.27
3000995555.5555553,-82.27
3001000000.0,-81.89
